Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
IIT-Library,frames,book_pdf_frame,setFrame,Magic Number,The method contains a magic number: 500,19
IIT-Library,frames,book_pdf_frame,setFrame,Magic Number,The method contains a magic number: 600,19
IIT-Library,frames,main_frame,setFrame,Magic Number,The method contains a magic number: 900,19
IIT-Library,frames,main_frame,setFrame,Magic Number,The method contains a magic number: 600,19
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 300,41
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 50,41
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 300,41
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 50,41
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 500,41
IIT-Library,sub_class,Download,go,Magic Number,The method contains a magic number: 400,41
IIT-Library,sub_class,Download,downloadFile,Magic Number,The method contains a magic number: 1024,93
IIT-Library,sub_class,Download,downloadFile,Magic Number,The method contains a magic number: 1024,93
IIT-Library,sub_class,Download,downloadFile,Magic Number,The method contains a magic number: 100,93
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 300,40
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 50,40
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 300,40
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 50,40
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 500,40
IIT-Library,sub_class,Download_Without_saving,go,Magic Number,The method contains a magic number: 400,40
IIT-Library,sub_class,Download_Without_saving,downloadFile,Magic Number,The method contains a magic number: 1024,93
IIT-Library,sub_class,Download_Without_saving,downloadFile,Magic Number,The method contains a magic number: 1024,93
IIT-Library,sub_class,Download_Without_saving,downloadFile,Magic Number,The method contains a magic number: 100,93
IIT-Library,sub_class,File_Basic,saveRecord,Empty catch clause,The method has an empty catch block.,25
IIT-Library,sub_class,File_Basic,ReadRecord,Empty catch clause,The method has an empty catch block.,44
IIT-Library,sub_class,File_Basic,SearchRecord,Empty catch clause,The method has an empty catch block.,63
IIT-Library,sub_class,Home_frame,setMainPanel,Magic Number,The method contains a magic number: 900,51
IIT-Library,sub_class,Home_frame,setMainPanel,Magic Number,The method contains a magic number: 100,51
IIT-Library,sub_class,Home_frame,setMainPanel,Magic Number,The method contains a magic number: 20,51
IIT-Library,sub_class,Home_frame,setMainPanel,Magic Number,The method contains a magic number: 100,51
