Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
IIT-Library,frames,book_pdf_frame,book_pdf_frame,4,1,1,14,0,frames.book_pdf_frame,frames.book_pdf_frame
IIT-Library,frames,book_pdf_frame,setFrame,7,1,1,19,0,,
IIT-Library,frames,book_pdf_frame,setContainer,4,1,0,28,0,,
IIT-Library,frames,main_frame,main_frame,4,1,1,13,0,frames.main_frame,frames.main_frame
IIT-Library,frames,main_frame,setFrame,7,1,1,19,0,,
IIT-Library,frames,main_frame,setContainer,4,1,0,28,0,,
IIT-Library,main_class,main,main,4,1,1,8,0,,
IIT-Library,sub_class,Download,go,23,1,2,41,0,,
IIT-Library,sub_class,Download,downloadFile,32,4,2,93,0,,
IIT-Library,sub_class,Download_Without_saving,go,23,1,2,40,0,,
IIT-Library,sub_class,Download_Without_saving,downloadFile,32,4,2,93,0,,
IIT-Library,sub_class,File_Basic,saveRecord,13,1,3,25,0,,
IIT-Library,sub_class,File_Basic,ReadRecord,17,2,1,44,0,,
IIT-Library,sub_class,File_Basic,SearchRecord,25,4,2,63,0,,
IIT-Library,sub_class,Home_frame,Home_frame,10,1,1,34,0,sub_class.Home_frame,sub_class.Home_frame
IIT-Library,sub_class,Home_frame,setContainer,4,1,0,45,0,,
IIT-Library,sub_class,Home_frame,setMainPanel,18,1,0,51,0,,
IIT-Library,sub_class,Home_frame,setbutton,24,2,0,73,0,,
IIT-Library,sub_class,Home_frame,setlabel,19,1,0,103,0,,
IIT-Library,sub_class,Home_frame,setTextarea,7,1,0,123,0,,
IIT-Library,sub_class,Home_frame,setImage,5,1,0,131,0,,
IIT-Library,sub_class,Home_frame,actionlistener,81,6,0,137,0,sub_class.Download_Without_saving,sub_class.Download_Without_saving; sub_class.search_item
IIT-Library,sub_class,Home_frame,actionPerformed,12,3,1,142,0,,
IIT-Library,sub_class,Home_frame,actionPerformed,9,1,1,160,0,sub_class.Download_Without_saving,sub_class.Download_Without_saving
IIT-Library,sub_class,Home_frame,run,3,1,0,164,0,sub_class.Download_Without_saving,sub_class.Download_Without_saving
IIT-Library,sub_class,Home_frame,actionPerformed,15,2,1,172,0,sub_class.search_item,sub_class.search_item
IIT-Library,sub_class,Home_frame,actionPerformed,15,2,1,191,0,,
IIT-Library,sub_class,Home_frame,actionPerformed,10,1,1,211,0,,
IIT-Library,sub_class,Home_frame,main,4,1,1,226,0,,
IIT-Library,sub_class,Offlinepdf,Offlinepdf,3,1,0,30,0,sub_class.Offlinepdf,sub_class.Offlinepdf
IIT-Library,sub_class,Offlinepdf,initcomponent,48,3,0,33,0,sub_class.Offlinepdf,sub_class.Offlinepdf; sub_class.PdfViewer
IIT-Library,sub_class,Offlinepdf,actionPerformed,4,1,1,70,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,Offlinepdf,actionPerformed,5,1,1,78,0,,
IIT-Library,sub_class,Offlinepdf,ReadRecord,16,2,1,86,0,,
IIT-Library,sub_class,PdfViewer,PdfViewer,3,1,0,43,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,initcomponents,5,1,0,47,0,,
IIT-Library,sub_class,PdfViewer,showpdf,143,9,0,53,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,13,2,1,98,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,13,2,1,114,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,18,3,1,130,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,18,3,1,152,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,12,2,1,174,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,12,2,1,192,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,button,12,3,0,210,0,,
IIT-Library,sub_class,PdfViewer,one_page_view,11,1,0,223,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,two_page_view,8,1,0,240,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,Showframe,17,1,0,251,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,actionPerformed,5,1,1,260,0,,
IIT-Library,sub_class,PdfViewer,main,5,1,1,267,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,makeFrameFullSize,6,1,1,274,0,,
IIT-Library,sub_class,PdfViewer,openpdf,20,1,4,281,0,,
IIT-Library,sub_class,PdfViewer,openpdf2,28,1,7,301,0,,
IIT-Library,sub_class,PdfViewer,keyControl,29,6,0,329,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,keyPressed,24,6,1,331,0,sub_class.PdfViewer,sub_class.PdfViewer
IIT-Library,sub_class,PdfViewer,back_action,10,1,0,359,0,,
IIT-Library,sub_class,PdfViewer,actionPerformed,5,1,1,361,0,,
IIT-Library,sub_class,PdfViewer,setPdfDocument,3,1,1,369,0,,
IIT-Library,sub_class,Pdf_books,Pdf_books,7,1,1,28,0,sub_class.Pdf_books,sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,setContainer,4,1,0,36,0,,
IIT-Library,sub_class,Pdf_books,setMainPanel,7,1,0,42,0,,
IIT-Library,sub_class,Pdf_books,setButton,48,4,0,51,0,,
IIT-Library,sub_class,Pdf_books,buttonaction,242,31,0,103,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,5,1,1,106,0,,
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,113,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,137,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,159,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,181,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,203,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
IIT-Library,sub_class,Pdf_books,actionPerformed,22,4,1,225,0,sub_class.File_Basic,sub_class.File_Basic; sub_class.PdfViewer; sub_class.View; sub_class.Pdf_books
