Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
IIT-Library,frames,book_pdf_frame,1,1,3,3,18,3,5,0,0.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\frames\book_pdf_frame.java,10
IIT-Library,frames,main_frame,1,1,3,3,18,3,2,0,0.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\frames\main_frame.java,9
IIT-Library,main_class,main,0,0,1,1,6,1,0,0,-1.0,0,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\main_class\main.java,7
IIT-Library,sub_class,Download,9,7,2,2,82,5,0,0,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Download.java,23
IIT-Library,sub_class,Download.Task_StringUpdate,1,0,0,0,18,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Download.java,68
IIT-Library,sub_class,Download_Without_saving,9,7,2,2,87,5,0,0,0.0,3,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Download_Without_saving.java,23
IIT-Library,sub_class,Download_Without_saving.Task_StringUpdate,1,0,0,0,23,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Download_Without_saving.java,66
IIT-Library,sub_class,File_Basic,4,3,3,3,61,7,0,0,0.0,2,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\File_Basic.java,17
IIT-Library,sub_class,Home_frame,21,18,15,15,185,25,0,1,0.4,10,5,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Home_frame.java,22
IIT-Library,sub_class,Offlinepdf,8,3,5,4,77,8,0,0,0.4,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Offlinepdf.java,21
IIT-Library,sub_class,PdfViewer,25,25,23,21,311,51,0,0,0.13043478260869565,3,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\PdfViewer.java,32
IIT-Library,sub_class,Pdf_books,17,15,17,17,342,79,0,1,0.11764705882352941,2,5,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Pdf_books.java,21
IIT-Library,sub_class,search_item,12,10,10,10,101,13,0,1,0.2,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\search_item.java,24
IIT-Library,sub_class,Semester_details,22,16,15,15,193,47,0,1,0.3333333333333333,3,4,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Semester_details.java,20
IIT-Library,sub_class,Slides,16,14,12,11,131,18,0,1,0.6666666666666666,2,2,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Slides.java,17
IIT-Library,sub_class,Slides_details,46,44,48,47,792,229,0,1,0.0625,1,6,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Slides_details.java,23
IIT-Library,sub_class,Teacher_info,8,0,4,2,316,6,0,0,0.0,1,1,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Teacher_info.java,19
IIT-Library,sub_class,View,9,7,2,2,71,5,0,0,0.0,3,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\View.java,23
IIT-Library,sub_class,View.Task_StringUpdate,1,0,0,0,15,0,0,0,-1.0,0,0,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\View.java,65
IIT-Library,sub_class,Welcome_frame,9,8,9,9,136,27,0,1,0.0,1,2,F:\exam\6th semester\LAB\Software Metrics\final check\IIT-Library\src\sub_class\Welcome_frame.java,19
